scale,items,n_items,total_column,n_total_nonmissing,total_min,total_max,expected_total_range,n_itemsum_total_discrepancies,max_abs_itemsum_total_diff,cronbach_alpha_raw_items,cronbach_alpha_n_complete,reverse_scoring_comment
CIAS,"I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26",26,CIASSUM,157,26.0,101.0,26-104,0,0.0,0.953337902822599,150,总分等于当前条目求和；若原问卷有反向题，则该文件中条目很可能已编码好，当前不能另行反向。
Young,"Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8",8,YOUNGSUM,157,0.0,8.0,0-8,0,0.0,0.7679133632587549,157,总分等于当前条目求和；若原问卷有反向题，则该文件中条目很可能已编码好，当前不能另行反向。
DSM_part1,"D1,D2,D3,D4,D5,D6,D7,D8,D9",9,DSMSUM1,157,0.0,9.0,0-9,0,0.0,0.7293928721652279,156,总分等于当前条目求和；若原问卷有反向题，则该文件中条目很可能已编码好，当前不能另行反向。
DSM_part2,"D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D20,D21,D22",13,DSMSUM2,157,0.0,13.0,0-13,0,0.0,0.7417335069444444,155,总分等于当前条目求和；若原问卷有反向题，则该文件中条目很可能已编码好，当前不能另行反向。
CAARS,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26",26,CAARSSUM,157,5.0,61.0,0-78,0,0.0,0.9034908238533823,149,总分等于当前条目求和；若原问卷有反向题，则该文件中条目很可能已编码好，当前不能另行反向。
